1/5/60,60.39
1/6/60,60.13
1/7/60,59.69
1/8/60,59.50
1/11/60,58.77
1/12/60,58.41
1/13/60,58.08
1/14/60,58.40
1/15/60,58.38
1/18/60,57.89
1/19/60,57.27
1/20/60,57.07
1/21/60,57.21
1/22/60,57.38
1/25/60,56.78
1/26/60,56.86
1/27/60,56.72
1/28/60,56.13
1/29/60,55.61
2/1/60,55.96
2/2/60,56.82
2/3/60,56.32
2/4/60,56.27
2/5/60,55.98
2/8/60,55.32
2/9/60,55.84
2/10/60,55.49
2/11/60,55.18
2/12/60,55.46
2/15/60,55.17
2/16/60,54.73
2/17/60,55.03
2/18/60,55.80
2/19/60,56.24
2/23/60,55.94
2/24/60,55.74
2/25/60,55.93
2/26/60,56.16
2/29/60,56.12
3/1/60,56.01
3/2/60,55.62
3/3/60,54.78
3/4/60,54.57
3/7/60,54.02
3/8/60,53.47
3/9/60,54.04
3/10/60,53.83
3/11/60,54.24
3/14/60,54.32
3/15/60,54.74
3/16/60,55.04
3/17/60,54.96
3/18/60,55.01
3/21/60,55.07
3/22/60,55.29
3/23/60,55.74
3/24/60,55.98
3/25/60,55.98
3/28/60,55.86
3/29/60,55.78
3/30/60,55.66
3/31/60,55.34
4/1/60,55.43
4/4/60,55.54
4/5/60,55.87
4/6/60,56.51
4/7/60,56.52
4/8/60,56.39
4/11/60,56.17
4/12/60,56.30
4/13/60,56.30
4/14/60,56.43
4/18/60,56.59
4/19/60,56.13
4/20/60,55.44
4/21/60,55.59
4/22/60,55.42
4/25/60,54.86
4/26/60,55.04
4/27/60,55.04
4/28/60,54.56
4/29/60,54.37
5/2/60,54.13
5/3/60,54.83
5/4/60,55.04
5/5/60,54.86
5/6/60,54.75
5/9/60,54.80
5/10/60,54.42
5/11/60,54.57
5/12/60,54.85
5/13/60,55.30
5/16/60,55.25
5/17/60,55.46
5/18/60,55.44
5/19/60,55.68
5/20/60,55.83
5/23/60,55.76
5/24/60,55.70
5/25/60,55.67
5/26/60,55.71
5/27/60,55.74
5/31/60,55.83
6/1/60,55.89
6/2/60,56.13
6/3/60,56.23
6/6/60,56.89
6/7/60,57.43
6/8/60,57.89
6/9/60,58.00
6/10/60,57.97
6/13/60,57.99
6/14/60,57.91
6/15/60,57.57
6/16/60,57.50
6/17/60,57.44
6/20/60,57.16
6/21/60,57.11
6/22/60,57.28
6/23/60,57.59
6/24/60,57.68
6/27/60,57.33
6/28/60,56.94
6/29/60,56.94
6/30/60,56.92
7/1/60,57.06
7/5/60,57.02
